NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
11755,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",14,1.5,2.41,,0.036,0.02,0.061,0
11756,"CARDOON,CKD,BLD,DRND,W/SALT",20,0.76,4.74,,0.012,0.02,0.044,0
11757,"CARROTS,CKD,BLD,DRND,W/SALT",35,0.76,8.22,3.45,0.037,0.007,0.107,0
11758,"CARROTS,CND,NO SALT,SOL&LIQUIDS",23,0.59,5.36,2.46,0.024,0.007,0.068,0
11759,"CARROTS,CND,NO SALT ,DRND SOL",25,0.64,5.54,2.48,0.036,0.009,0.092,0
11760,"CARROTS,FRZ,CKD,BLD,DRND,W/SALT",37,0.58,7.73,4.08,0.132,0.035,0.318,0
11761,"CAULIFLOWER,CKD,BLD,DRND,W/SALT",23,1.84,4.11,1.86,0.07,0.032,0.217,0
11762,"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",17,1.61,3.16,0.46,0.034,0.015,0.105,0
11763,"CELERIAC,CKD,BLD,DRND,W/SALT",27,0.96,5.9,,,,,0
11764,"CELERY,CKD,BLD,DRND,W/SALT",18,0.83,4,2.37,0.04,0.03,0.075,0
11765,"CHARD,SWISS,CKD,BLD,DRND,W/SALT",20,1.88,4.13,1.1,,,,0
11766,"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",22,0.62,4.5,,0.086,,,0
11767,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT",20,1.64,4.31,2.01,,,,0
11768,"COLLARDS,CKD,BLD,DRND,W/SALT",33,2.71,5.65,,0.047,0.026,0.173,0
11769,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",36,2.97,7.1,0.57,0.04,,,0
11770,"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",96,3.41,20.98,4.54,0.197,0.374,0.603,0
11771,"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS",61,1.95,13.86,3.18,0.077,0.144,0.234,0
11772,"CORN,SWT,YEL,CND,CRM STYLE,NO SALT",72,1.74,18.13,3.23,0.065,0.123,0.198,0
11773,"CORN,SWT,YEL,CND,VACUUM PK,NO SALT",79,2.41,19.44,3.56,0.077,0.147,0.237,0
11774,"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",79,2.55,18.71,3.07,0.066,0.126,0.203,0
11775,"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",94,3.11,22.33,3.59,0.114,0.216,0.348,0
11777,"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/ SALT",94,3.17,19.73,3.23,0.096,0.034,0.161,0
11778,"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/ SALT",131,8.49,23.5,4.46,0.175,0.06,0.28,0
11779,"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,W/SALT",34,2.6,7,,0.079,0.027,0.127,0
11780,"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",22,4.67,2.8,,0.026,0.009,0.042,0
