NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
23394,"BEEF,LN,TOP LN STK,BNLSS,LIP-ON,LN,1/8"" FAT,ALL GRDS,,GRLLD",198,29.06,0,0,3.435,3.98,0.504,80
23647,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,CHOIC,CKD,RSTD",193,26.34,0,0,3.527,4.907,0.312,80
35011,"Whale, beluga, meat, raw (Alaska Native)",111,26.5,0,0,0.092,0.337,0.025,80
35081,"WALRUS,MEAT,RAW (ALASKA NATIVE)",199,19.2,0,,2.57,8.42,2.6,80
01026,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,2.19,1.03,13.152,6.573,0.765,79
01157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,0.12,0.12,20.639,6.808,0.709,79
05048,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,RAW",319,14.05,0,0,8.34,12.25,6.14,79
05090,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,CKD,SIMMRD",179,24.56,0,,2.1,2.54,2.03,79
05101,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER",324,19.87,10.94,,5.83,8.96,5.07,79
05124,"CHICKEN,STEWING,MEAT&SKN,CKD,STWD",285,26.88,0,,5.11,7.19,4.23,79
05187,"Turkey from whole, dark meat, meat only, raw",108,21.28,0.1,0.1,0.683,0.756,0.613,79
05215,"TURKEY,BACK,FROM WHL BIRD,NON-ENHANCED,MEAT ONLY,RAW",113,21.28,0.15,0.1,,,,79
05649,"OSTRICH,OUTSIDE STRIP,RAW",120,23.36,0,0,0.771,0.874,0.462,79
05694,"TURKEY,DK MEAT FROM WHL,ENHANCED,MEAT ONLY,RAW",114,19.27,0.1,0.1,1.124,1.244,1.009,79
05716,"TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,RAW",118,20.52,0,0,1.073,1.163,1.072,79
05719,"TURKEY,BACK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW",114,19.27,0.15,0.1,1.124,1.244,1.009,79
05724,"TURKEY,DRUMSTK,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW",114,19.27,0.15,0.1,1.124,1.244,1.009,79
05726,"TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW",114,19.27,0.15,0.1,1.124,1.244,1.009,79
05733,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD",164,29.01,0.05,0,1.657,1.962,1.708,79
05740,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RAW",108,21.28,0.15,0.1,0.683,0.756,0.613,79
07071,"SALAMI,DRY OR HARD,PORK",407,22.58,1.6,,11.89,16,3.74,79
07910,BRATWURST  VEAL  CKD,341,13.99,0,0,14.94,13,1.614,79
07936,BOLOGNA  PORK & TURKEY  LITE,211,13.06,3.45,0,5.46,7.548,3.051,79
07953,"PORK SAUSAGE,LINK/PATTY,FULLY CKD,MICROWAVED",437,15.12,0.62,0.62,13.557,16.448,8.041,79
10007,"PORK,FRSH,FAT,CKD",626,7.06,0,0,23.856,28.987,11.538,79
10025,"PORK,FRSH,LOIN,WHL,LN,CKD,BRSD",204,28.57,0,0,3.38,4.16,0.7,79
10026,"PORK,FRSH,LOIN,WHL,LN,CKD,BRLD",210,28.57,0,0,3.64,4.45,0.77,79
10045,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD",261,26.66,0,0,5.435,6.088,2.397,79
10049,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN,CKD,BRSD",208,29.03,0,0,2.553,5.737,1.078,79
10069,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN,CKD,RSTD",173,27.23,0,0,1.927,2.464,0.631,79
10179,"PORK,FRSH,LOIN,CNTR LOIN CHOPS,BONE-IN,LN&FAT,CKD,PAN-FRIED",238,27.63,0,0,4.867,5.478,2.127,79
13350,"BEEF,CURED,DRIED",153,31.1,2.76,2.7,0.95,0.84,0.07,79
13399,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",187,27.42,0,0,2.773,3.266,0.291,79
13417,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",162,29.45,0,0,1.555,1.751,0.292,79
13420,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD",157,29.52,0,0,1.28,1.438,0.266,79
13865,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",235,27.54,0,0,4.9,5.56,0.52,79
13867,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,SEL,CKD,BRLD",218,27.58,0,0,4.23,4.76,0.44,79
13914,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,SEL,CKD,GRILLED",250,26.72,0,0,5.951,6.298,0.56,79
13916,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,CKD,BRLD",310,25.92,0,0,8.91,9.39,0.8,79
13948,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",192,27.66,0,0,3.395,3.317,0.322,79
15048,"MACKEREL,JACK,CND,DRND SOL",156,23.19,0,0,1.857,2.225,1.651,79
15087,"FISH,SALMON,SOCKEYE,CND,DRND SOL",167,23.59,0,0,1.44,2.494,1.783,79
15169,"OYSTER,EASTERN,WILD,CKD,MOIST HEAT",102,11.42,5.45,1.23,0.948,0.506,1.056,79
17137,"VEAL,SIRLOIN,LN,RAW",110,20.2,0,,0.78,0.83,0.27,79
17335,"GAME MEAT,BISON,RIBEYE,LN,1"" STEAK,CKD,BRLD",177,29.45,0,0,2.419,2.213,0.266,79
17345,"GAME MEAT,DEER,LOIN,LN,1"" STEAK,CKD,BRLD",150,30.2,0,0,1.351,0.54,0.158,79
17380,"LAMB,NZ,IMP,TUNNEL-BNED LG,CHMP OFF,SHNK OFF,LN,CKD,SLW RSTD",159,25.29,0,0,2.035,1.841,0.406,79
17394,"LAMB,NZ,IMP,NETTED SHLDR,ROLLED,BNLESS,LN,CKD,SLOW RSTD",199,25.14,0,0,3.262,2.324,0.503,79
17421,"LAMB,NZ,IMP,TUN-BND LG,CHMP OFF,SHNK OFF,L & F,CKD,SL RSTD",208,23.41,0.03,0,4.788,3.574,0.591,79
17437,"VEAL,LOIN,CHOP,LN & FAT,CKD,GRILLED",198,28.04,0.16,0,3.378,4.246,0.465,79
23004,"BEEF,SHRT LOIN,PRTRHS STK,L & F,1/8"" F,SEL,CKD,GRILLED",263,26.21,0,0,6.843,7.469,0.737,79
23100,"BEEF,RIB EYE STK,BNLES,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",207,27.97,0,0,4.2,4.866,0.548,79
23161,"BEEF,RIB EYE RST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,CKD,RSTD",202,28.72,0,0,3.556,4.037,0.574,79
23174,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,ALL GRDS,CKD,GRI",206,28.11,0,0,4.2,4.866,0.548,79
23190,"BEEF,RIB EYE RST,BNE-IN,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,RST",290,23.36,0,0,9.562,10.284,1.003,79
23196,"BEEF,RIB EYE STK,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,GILD",273,24.83,0,0,8.749,9.426,0.981,79
23251,"BEEF,TOP LOIN PETITE RST,BNLESS,LN,1/8"" FAT,CHOIC,CKD,RSTD",206,28.24,0.88,0,3.498,4.421,0.375,79
23256,"BEEF,LOIN,TOP SIRLOIN FILET,BNLS,LN,0"" FAT,ALL GRDS,CKD,GRLD",171,30.58,0,0,1.803,2.498,0.166,79
23399,"BEEF,NZ,IMP,BRISKET NAVAL END,LN,CKD,BRSD",265,29.35,0,0,5.527,6.997,0.509,79
23610,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRLD",178,29.42,0,0,2.224,2.331,0.227,79
36000,"APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK",189,26.85,0,0,3.477,4.35,0.532,79
43340,"CHEESE,PARMESAN,LO NA",451,41.6,3.7,0.85,19.051,8.721,0.659,79
01227,"CHEESE,DRY WHITE,QUESO SECO",325,24.51,2.04,0.55,13.718,6.418,1.244,78
03014,"BABYFOOD,MEAT,CHICK STKS,JR",188,14.6,1.5,1.4,4.094,6.267,2.986,78
05010,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD",219,24.68,0,0,3.5,4.93,2.74,78
05052,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,STWD",258,22.18,0,0,5.02,7.13,4,78
05630,"EMU,OUTSIDE DRUM,RAW",103,23.08,0,0,0.122,0.202,0.07,78
05668,"GROUND TURKEY,85% LN,15% FAT,RAW",180,16.9,0,0,3.414,4.551,3.485,78
05717,"TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW",116,20.6,0,0,0.782,0.749,0.722,78
07044,"USDA CMDTY,LUNCHEON MEAT,CND",189,17.5,1.04,0,3.944,5.685,1.565,78
07922,BRATWURST  BF & PORK  SMOKED,297,12.2,2,0,6.08,8,1.58,78
07962,"Frankfurter, meat and poultry, unheated",277,9.72,5.02,2.75,7.583,9.929,5.386,78
10030,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",231,23.72,0,0,4.339,4.887,1.894,78
10034,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,CKD,BRLD",193,24.99,0,0,2.322,2.707,0.947,78
10047,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",248,26.99,0,0,5.442,6.183,2.474,78
10051,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN,CKD,RSTD",206,28.82,0,0,3.254,3.83,1.453,78
10176,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,CKD,PAN-FRIED",195,29.56,0,0,2.597,3.028,1.059,78
10180,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,PAN-FRIED",256,26.81,0,0,5.056,5.68,2.218,78
10959,"PORK,SHLDR BREAST,BNLESS,LN & FAT,CKD,BRLD",162,28.47,0,0,1.325,1.802,0.578,78
10976,"PORK,GROUND,96% LN / 4% FAT,CKD,CRUMBLES",187,30.55,0,0,1.951,2.714,0.776,78
13156,"BEEF,RND,FULL CUT,LN,1/4""FAT,CHOIC,CKD,BRLD",191,29.21,0,0,2.56,3.1,0.31,78
13158,"BEEF,RND,FULL CUT,LN,1/4""FAT,SEL,CKD,BRLD",172,29.25,0,,1.83,2.22,0.22,78
13228,"BEEF,SHANK CROSSCUTS,LN,1/4""FAT,CHOIC,CKD,SIMMRD",201,33.68,0,,2.29,2.86,0.21,78
13411,"Beef, bottom round, roast,lean only, 0"" fat, choice, roasted",185,27.23,0,0,2.661,3.214,0.285,78
13421,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",188,26.79,0,0,3.007,3.405,0.305,78
13469,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,SEL,CKD,GRILLED",203,28.92,0,0,3.454,3.738,0.429,78
13498,"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW",332,14.35,0,0,11.754,14.171,0.697,78
13931,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",214,19.92,0,0,5.763,6.115,0.543,78
13949,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,SEL,CKD,BRLD",183,27.78,0,0,2.951,2.882,0.28,78
13985,"BF,LOIN,BTTM SIRLOIN BUTT,TRI-TIP,LN,0"" FAT,ALL GRD,CKD,RSTD",182,26.75,0,0,3.108,4.205,0.268,78
15111,"SWORDFISH,COOKED,DRY HEAT",172,23.45,0,0,1.911,3.544,1.368,78
15139,"CRAB,BLUE,RAW",87,18.06,0.04,,0.222,0.192,0.387,78
17062,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,RAW",277,16.74,0,,11.57,8.72,0.98,78
17094,"VEAL,LEG (TOP RND),LN&FAT,RAW",117,20.98,0,0,1.18,1.12,0.24,78
17099,"VEAL,LEG (TOP RND),LN,RAW",107,21.28,0,,0.53,0.56,0.18,78
17134,"VEAL,SIRLOIN,LN&FAT,RAW",152,19.07,0,0,3.35,3.04,0.51,78
17173,"GAME MEAT,MOOSE,CKD,RSTD",134,29.27,0,0,0.29,0.2,0.31,78
17339,"GAME MEAT,ELK,GROUND,CKD,PAN-BROILED",193,26.64,0,0,4.002,2.757,0.412,78
17341,"GAME MEAT,ELK,RND,LN,CKD,BRLD",156,30.94,0,0,1.037,0.75,0.124,78
17356,"LAMB,NZ,IMP,SUBCUTANEOUS FAT,RAW",703,3.87,0.55,0,32.369,21.703,2.31,78
17365,"LAMB,NZ,IMP,FLAP,BNLESS,LN,CKD,BRSD",234,27.88,0,0,5.056,3.419,0.63,78
17386,"LAMB,NZ,IMP,LOIN SADDLE,LN,CKD,FAST RSTD",162,25.53,0,0,2.514,1.754,0.378,78
17400,"LAMB,NZ,IMP,LEG CHOP/STEAK,BONE-IN,LN,CKD,FAST FRIED",162,26.31,0,0,1.901,1.64,0.402,78
17405,"LAMB,NZ,IMP,LEG CHOP/STEAK,BONE-IN,LN & FAT,CKD,FAST FRIED",212,24.26,0.04,0,4.743,3.433,0.591,78
17413,"LAMB,NZ,IMP,NETTED SHLDR,ROLLED,BNLESS,L & F,CKD,SLOW RSTD",287,21.45,0.05,0,8.431,5.677,0.851,78
17427,"VEAL,LOIN,CHOP,LN,CKD,GRILLED",159,29.75,0.07,0,1.742,2.077,0.257,78
17438,"VEAL,SHLDR,BLADE CHOP,LN & FAT,CKD,GRILLED",199,25.72,0.15,0,3.715,4.778,0.556,78
18224,"CRACKERS,RUSK TOAST",407,13.5,72.3,,1.376,2.755,2.31,78
21048,"FAST FOODS,OYSTERS,BATTERED OR BREADED,&FRIED",265,9.02,28.69,,3.294,4.979,3.337,78
23033,"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",160,29.24,0,0,1.267,1.385,0.255,78
23050,"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,CH,CKD,GRILLED",191,27.22,0,0,2.954,3.759,0.338,78
23054,"BF,CHK,CLD,SHDR TNDR,MED,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",177,26.22,0,0,2.833,2.933,0.41,78
23130,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN & FAT,0"" FAT,SEL,RAW",227,17.87,0,0,7.47,8.55,1.26,78
23158,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILD",210,27.96,0,0,4.639,5.327,0.573,78
23227,"BEEF,RIB EYE STK,BNLS,LIP OF,LN & FAT,0"" FT,AL GRDS,CKD,GRLD",271,24.85,0,0,8.443,9.171,0.896,78
23267,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",259,24.24,1.81,0,5.961,7.348,0.635,78
23350,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",157,30.97,0,0,1.421,1.558,0.285,78
23351,"BEEF,RND,EYE OF RND STK,BNLESS,L & F,0"" F,A GRDS,CKD,GRILLED",159,29.66,0,0,1.669,1.935,0.326,78
23380,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD",150,29.81,0,0,1.136,1.238,0.26,78
23381,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FT,A GRDS,CKD,GRILLED",155,29.85,0,0,1.41,1.644,0.302,78
23410,"BEEF,NZ,IMP,FLANK,LN,CKD,BRSD",194,30.75,0,0,2.862,2.712,0.288,78
23432,"BEEF,NZ,IMP,RUMP CENTRE,LN,CKD,FAST FRIED",188,30.17,0,0,2.609,2.622,0.398,78
23458,"BEEF,NZ,IMP,FLANK,LN & FAT,CKD,BRSD",208,30.13,0,0,3.566,3.293,0.324,78
23465,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,CKD,FAST FRIED",192,30.01,0,0,2.795,2.776,0.406,78
23589,"BEEF,SHRT LOIN,TOP LOIN,STEAK,LN,1/8"" FAT,SEL,CKD,GRILLED",177,29.44,0,0,2.183,2.288,0.205,78
23620,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD",175,29.87,0,0,1.828,2.217,0.214,78
23654,"BEEF,FLANK,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",186,27.89,0,0,3.07,2.917,0.292,78
05042,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,CKD,STWD",159,28.88,0,0,1.12,1.35,0.87,77
05065,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",151,28.98,0,0,0.85,1.03,0.66,77
05131,"CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW",157,19.7,0,0,2.08,2.52,2.02,77
05141,"DUCK,DOMESTICATED,MEAT ONLY,RAW",135,18.28,0.94,0,2.32,1.54,0.75,77
05145,"DUCK,WILD,BREAST,MEAT ONLY,RAW",123,19.85,0,,1.32,1.21,0.58,77
07025,"FRANKFURTER,TURKEY",223,12.23,3.81,1.21,4.028,5.736,3.949,77
07225,"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343,16.3,1,0.9,10.69,14.8,3.68,77
07267,"LOUIS RICH,TURKEY SALAMI COTTO",149,15,0.9,0.4,2.9,3.92,2.33,77
07950,FRANKFURTER  MEAT,290,10.26,4.17,,7.666,11.386,4.404,77
10114,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",304,15.03,0,,9.82,12.26,2.44,77
10177,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN,CKD,PAN-FRIED",211,28.84,0,0,2.563,5.759,1.408,77
10988,"PORK,FRSH,BLADE,(CHOPS),BNLESS,LN & FAT,CKD,BRLD",202,24.73,0.83,0,3.28,3.911,1.471,77
13166,"USDA CMDTY,BF,CND",246,20.52,0,0,8.59,7.89,0.865,77
13405,"BEEF,RND,BTTM RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",175,28.08,0,0,2.179,2.567,0.228,77
13408,"BEEF,RND,BTTM RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",177,27.76,0,0,2.26,2.73,0.242,77
15035,"HADDOCK,SMOKED",116,25.23,0,0,0.173,0.157,0.321,77
15040,"HERRING,ATLANTIC,CKD,DRY HEAT",203,23.03,0,0,2.615,4.79,2.735,77
15043,"HERRING,PACIFIC,RAW",195,16.39,0,,3.257,6.872,2.423,77
15105,"STURGEON,MXD SP,CKD,DRY HEAT",135,20.7,0,0,1.173,2.486,0.885,77
15190,"BURBOT,COOKED,DRY HEAT",115,24.76,0,,0.209,0.17,0.381,77
15216,"SPOT,COOKED,DRY HEAT",158,23.73,0,,1.859,1.706,1.398,77
15223,"WHITEFISH,MXD SP,CKD,DRY HEAT",172,24.47,0,,1.162,2.559,2.755,77
17159,"GAME MEAT,BOAR,WILD,CKD,RSTD",160,28.3,0,0,1.3,1.71,0.64,77
17254,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW",232,17.95,0,,8.64,6.6,0.75,77
17284,"LAMB,AUS,IMP,FRSH,FAT,RAW",648,6.27,0,,35.353,27.975,2.844,77
17424,"VEAL,GROUND,CKD,PAN-FRIED",215,25.83,1.51,0,4.368,5.665,0.784,77
17430,"VEAL,SHLDR,BLADE CHOP,LN,CKD,GRILLED",159,27.33,0,0,2.092,2.677,0.315,77
23040,"BF,CHK, CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",176,26.66,0,0,2.235,2.373,0.376,77
23062,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",177,27.12,0,0,2.527,2.712,0.358,77
23064,"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",182,27.52,0,0,2.541,3.174,0.321,77
23147,"BEEF,RIB EYE RST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,CKD,RSTD",219,27.03,0,0,4.736,5.281,0.562,77
23149,"BEEF,RIB EYE STEAK,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILLED",192,28.98,0,0,3.534,4.015,0.539,77
23178,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,CKD,GRILLED",191,29.18,0,0,3.534,4.015,0.539,77
23229,"BEEF,RIB EYE STEK,BNLES,LIP OFF,LN & FAT,0"" FAT,SEL,CKD,GRLD",248,26.29,0,0,7.226,7.786,0.81,77
23314,"BEE,ASTRLN,WAGYU,RB,SMLEND RB STK/RST,BNLS,LN,MRBL SCR 9,RAW",330,17.61,0.46,0,11.123,14.343,0.789,77
23348,"BEEF,RND,TOP RND RST,BNLS,LN&FAT,0"" FAT,ALLGRD,CKD,RSTD",160,29.9,0,0,1.671,1.918,0.301,77
23378,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD",162,30.09,0,0,1.383,1.594,0.275,77
23588,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,SEL,CKD,BRLD",170,29.34,0,0,1.889,1.98,0.196,77
23619,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,CHOIC,CKD,RSTD",179,27.56,0,0,2.334,2.831,0.274,77
01054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,12.49,8,13.831,6.418,0.825,76
01252,"DAIRY,CHS PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",308,17.62,8.7,6.47,13.248,6.151,0.955,76
01260,"CHEESE,CHEDDAR,RED FAT",309,27.35,4.06,0.26,12.602,5.304,0.893,76
04030,"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389,0.9,22.4,15.18,5.1,7.4,20,76
05112,"CHICKEN,ROASTING,MEAT&SKN,CKD,RSTD",223,23.97,0,,3.74,5.4,2.92,76
05139,"DUCK,DOMESTICATED,MEAT&SKN,RAW",404,11.49,0,0,13.22,18.69,5.08,76
05157,"QUAIL,MEAT AND SKIN,RAW",192,19.63,0,,3.38,4.18,2.98,76
05703,"TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,CKD,RSTD",157,26.52,0,0,1.593,1.971,1.585,76
07036,"SAUSAGE,ITALIAN,PORK,RAW",346,14.25,0.65,,11.27,14.34,4.03,76
07070,"SALAMI,COOKED,TURKEY",172,19.2,1.55,1.12,2.783,3.172,2.466,76
07266,"LOUIS RICH,TURKEY SALAMI",147,15.3,0.4,0.4,2.783,3.146,2.342,76
07906,"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",293,12.5,3.4,0,8.873,12.34,2.666,76
10039,"PORK,FRSH,LOIN,CNTR LOIN (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",231,27.01,0,0,4.859,5.478,2.073,76
10212,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN&FAT,CKD,BRLD",170,28.19,0,0,1.785,2.106,0.822,76
10216,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN,CKD,BRLD",161,28.6,0,0,1.357,1.585,0.614,76
10983,"PORK,FRSH,LOIN,BLADE (ROASTS),BNLESS,LN,CKD,RSTD",175,27.58,0,0,2.56,3.063,1.046,76
10984,"PORK,FRSH,LOIN,BLADE (CHOPS),BNLESS,LN,BNLESS,CKD,BRLD",169,26.14,0.89,0,1.638,1.91,0.668,76
10990,"PORK,FRSH,LOIN,BLADE (ROASTS),BNLESS,LN & FAT,CKD,RSTD",199,26.48,0,0,3.706,4.458,1.611,76
13147,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",388,14.4,0,,15.76,16.39,1.32,76
13414,"BEEF,RND,BTTM RND RST,LN,0"" FAT,SEL,CKD,RSTD",169,28.29,0,0,1.86,2.247,0.199,76
13415,"BEEF,RND,EYE OF RND RST,BNLESS,L & F,0"" FAT,A GRDS,CKD,RSTD",167,29.66,0,0,1.615,1.876,0.317,76
13418,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD",163,29.85,0,0,1.375,1.602,0.295,76
13423,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",181,26.57,0,0,2.756,3.121,0.28,76
13425,"BEEF,RND,TIP RND,RST,LN,0"" FAT,CHOIC,CKD,RSTD",176,27.68,0,0,2.288,2.626,0.236,76
15051,"MACKEREL,SPANISH,RAW",139,19.29,0,0,1.828,1.53,1.739,76
15189,"BLUEFISH,COOKED,DRY HEAT",159,25.69,0,,1.172,2.297,1.358,76
15226,"CRAB,DUNGENESS,CKD,MOIST HEAT",110,22.32,0.95,,0.168,0.214,0.407,76
17029,"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,RAW",372,14.52,0,,15.16,14.13,2.69,76
17081,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN & FAT,CKD,FAST RSTD",253,22.06,0.04,0,7.066,4.787,0.734,76
17083,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN,CKD,FAST RSTD",193,24.43,0,0,3.664,2.601,0.503,76
17401,"LAMB,NZ,IMP,FLAP,BNLESS,LN & FAT,CKD,BRSD",376,20.48,0.14,0,13.534,8.805,1.185,76
17407,"LAMB,NZ,IMP,LOIN SADDLE,LN & FAT,CKD,FAST RSTD",274,21.13,0.1,0,8.762,5.721,0.805,76
18355,"SWEET ROLLS,CHEESE",360,7.1,43.7,,6.059,9.057,2.032,76
21043,"FAST FOODS,CLAMS,BREADED&FRIED",392,11.15,33.75,,5.742,9.948,5.89,76
21056,"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/SHRIMP",45,6.15,2.8,,0.276,0.348,0.205,76
21438,"KFC,FRIED CHICK,EX CRISPY,BREAST,MEAT & SKN W/ BREADING",268,21.24,8.47,,3.538,5.422,6.276,76
23035,"BF,CHK,CLOD,SHDR TNDR,MED,LN & FAT,0"" FAT,CH,CKD,GRILLED",181,26.07,0,0,2.737,2.872,0.381,76
23058,"BEEF,CHCK,CLOD,SHLDR TOP&CNTR STKS,LN & FT,0"",ALL GRDS,GRLD",182,26.3,0,0,2.765,3.044,0.395,76
23068,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,ALL GRDS,RAW",169,19.68,0.05,0,4.312,5.278,0.426,76
23237,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,CHOIC,RAW",336,15.75,0.9,0,13.296,14.553,1.219,76
23255,"BEEF,TOP LOIN PETITE ROAST/FILET,BNLESS,LN,1/8"" FAT,SEL,RAW",135,22.77,0,0,1.621,2.062,0.134,76
23266,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED",246,24.66,1.53,0,5.566,6.828,0.586,76
